Do you provide training to your Personnel on data protection and IT security issues? If so, please provide details.	Personnel is adequately qualified and trained for the roles and tasks undertaken. Periodic training for enforcing conformance with corporate policies, legislation or regulation updates or enhancement of skills is enforced by the Management. Training conducted annually and upon regulatory change (e.g. CCPA, GDPR). Training is integral part of the company's Quality and Information Security Management System that is certified with ISO 9001 and ISO 27001.
Is personnel accessing our data subject to NDA?	Yes, upon hire.
Does your organization need to comply with any data protection regulations or laws such as GLBA, HIPAA, MA 201 or others? If so, which one(s)?	We comply with national laws and international regulation regarding privacy and security, including GDPR: www.efrontlearning.com/gdpr and CCPA. The Personally Identifiable Information we keep, as documented in our Privacy Policy, Terms of Use and DPA does not contain sensitive information requiring HIPAA or similar certifications.
Please provide details of the levels of your insurance cover for ... e.g. Data Breach. Please provide evidence of the same.	Yes we are insured. Insurance copy from sales...
Identify geographic regions where you host your services.	Servers are hosted in AWS datacenters, the specific datacenter where eFront is to be set up is decided in collaboration with the customer. Additional information regarding the subprocessors used (optional and mandatory) and their location is provided in the service DPA: https://www. efrontlearning.com/wp-content/uploads/2018/11/EpignosisGroup_eFront_DPA.pdf
Does your organization allow its customers to conduct non-intrusive assessments of your infrastructure, applications or operational safeguards?	Yes upon request and as specified in DPA: https://www.efrontlearning.com/wp-content/uploads/2018/11/EpignosisGroup_eFront_DPA.pdf.
Compliance with data privacy laws and regulation. CCPA/GDPR compliance?	Our company complies with national law and international regulation regarding privacy and security issues, including CCPA and GDPR. Please also refer to our GDPR page for more info: www.efrontlearning.com/gdprWe constantly monitor the privacy laws and guidance around compliance from privacy-related regulatory bodies and codes of conduct, and have joined the EU Cloud Code of Conduct, an EU Data Protection Code of Conduct for cloud service providers containing rigorous assurances for the protection of data in cloud services. Our services have been successfully audited for compliance with GDPR (https://eucoc.cloud/en/public- register/levels-of-compliance.html); you may find our listing and public assessment report here: https://eucoc.cloud/en/public-register/list-of- adherent-services.html
Do you offer a basic Service Level Agreement or custom SLA? What credits are offered for SLA breach?	Yes, Standard Service Level Agreement. SLA available from Sales.
Please provide details of your back up processes including details of how frequently they are tested.	We perform daily system backups. All data is stored encrypted (SSE AES-256) and span a period of 30 days. We use multiple forms of backups so as to maximize the recovery capabilities and speed. We test our backup process annually as part of our BCDR test. Also we have done restorations from backups due to customer requests - customers who have accidentally deleted data and want the DB restored, so backup & restore is part of the company's operations as well. We do not keep local copies of your data in our premises, all data exclusively backed up in the cloud.
Does your organization conduct vulnerability scanning or your Internet facing infrastructure and applications using accredited industry standard tools? If so, which tools are used for scanning?	Yes we use a variety of tools recommended by OWASP and commercial third-party tools. Mostly we rely on Zap, Chimera and Acunetix, which detect well-known vulnerabilities of the code (long list of issues including OWASP list of vulnerabilities) and the deployment environment (e.g. weak ciphers). We perform vulnerability scanning periodically using third party services such as Acunetix. Internal pen tests are also run by our security team.
Has your business been subjected to any professional testing (e.g. penetration tests) within the last 2 years? If yes, were there any negative findings or recommendations as a result of such vulnerability tests? If yes, please provide details.	We ensure that our code is checked for vulnerabilities and security is taken into consideration and checked throughout the software development. Vulnerability scans and penetration testing further mitigate threats using automated tools. Adhering to industry's best practices regarding security, data minimization, roles segregation, multi-layer controls as well as runing internal pen testing periodically.
Who owns my data?	You do. We only handle your data to the extent necessary to carry out responsibilities and services (including support) and any lawful instructions given by you as part of our contract. Please see the Privacy Policy: https://www.efront.com/privacy/privacy-policy/ for more information.
Does your organization require employees and contractors to sign Non-Disclosure Agreements or Confidentiality Agreements?	Yes personnel with access to production systems, administrators and support personnel sign NDA upon hire.Confidentiality and privacy trerms in people's contracts.
Do you require your third parties to comply with your organization’s security controls?	Yes. Our third parties are well-known providers with security and privacy certifications. We regularly review our subprocessors also as part of the company's QISMS, which has been certified with ISO 9001 and ISO 27001.
Encryption	Encryption at rest: SSE AES-256. Encryption in transit: SSL/TLS 1.2 https://support.efrontlearning.com/hc/en-us/articles/360043441592-Why- your-eFront-portal-uses-the-TLS-1-2-protocol
Will customers be notified prior to merger or acquisition?	You will be notified on any change in ownership or uses of your Personal Information, as well as any choices you may have regarding your Personal Information.
